,name,club,team,year,height,weight,age,tournament,NHL
127,LINDHOLM Elias,Carolina Hurricanes,swe,2014,1.84,192,19.095890410958905,1,1.0
128,BENGTSSON Lukas,Mora IK,swe,2014,1.77,172,19.731506849315068,1,0.0
129,SANDBERG Filip,HV71 Jonkoping,swe,2014,1.74,181,19.457534246575342,1,0.0
130,SORENSEN Nick,Quebec Remparts,swe,2014,1.86,174,19.205479452054796,1,0.0
131,KARLSSON Erik,Frolunda Gothenburg,swe,2014,1.82,170,19.443835616438356,1,0.0
132,KARLSSON Anton,Frolunda Gothenburg,swe,2014,1.87,194,17.424657534246574,1,0.0
133,WALLMARK Lucas,Lulea HF,swe,2014,1.83,176,18.336986301369862,1,0.0
134,SUNDQVIST Oskar,Skelleftea AIK,swe,2014,1.90,196,19.791780821917808,1,0.0
135,JOHANSSON Jonas,Brynas Gavle,swe,2014,1.93,198,18.2986301369863,1,0.0
136,DANSK Oscar,Erie Otters,swe,2014,1.89,203,19.854794520547944,1,0.0
137,USTINSKI Igor,Stalnye Lisy Magnitogorsk,rus,2014,1.78,201,19.564383561643837,1,0.0
138,LYUBUSHKIN Ilya,Lokomotiv Yaroslavl,rus,2014,1.85,190,19.753424657534246,1,0.0
139,BEREGLAZOV Alexei,Stalnye Lisy Magnitogorsk,rus,2014,1.94,192,19.715068493150685,1,0.0
140,VASILIEV Valeri,Spartak Moscow,rus,2014,1.87,207,19.602739726027398,1,0.0
141,MASLOV Kirill,Loko Yaroslavl,rus,2014,1.85,187,19.791780821917808,1,0.0
142,TRYAMKIN Nikita,Avtomobilist Yekaterinburg,rus,2014,2.01,229,19.353424657534248,1,0.0
143,SLEPYSHEV Anton,Salavat Yulayev Ufa,rus,2014,1.90,187,19.65205479452055,1,0.0
144,YAKIMOV Bogdan,Neftekhimik Nizhnekamsk,rus,2014,1.93,198,19.257534246575343,1,0.0
145,ZHAFYAROV Damir,Metallurg Novokuznetsk,rus,2014,1.73,143,19.80821917808219,1,0.0
146,BARBASHYOV Ivan,Moncton Wildcats,rus,2014,1.82,174,18.063013698630137,1,0.0
147,SKLADNICHENKO Nikolai,Kuznetskie Medvedi,rus,2014,1.83,198,19.484931506849314,1,0.0
148,BUSAROV Georgi,Dizel Penza,rus,2014,1.81,176,19.706849315068492,1,0.0
149,ZADOROV Nikita,London Knights,rus,2014,1.93,201,18.726027397260275,1,0.0
150,GIMATOV Eduard,Avto Yekaterinburg,rus,2014,1.80,190,19.956164383561642,1,0.0
151,OSNOVIN Vyacheslav,Traktor Chelyabinsk,rus,2014,1.84,181,19.84109589041096,1,0.0
152,BUCHNEVICH Pavel,Severstal Cherepovets,rus,2014,1.86,161,18.723287671232878,1,0.0
153,NALIMOV Ivan,VMF-Karelia St. Petersburg,rus,2014,1.94,207,19.82191780821918,1,0.0
154,BARABANOV Alexander,VMF St. Petersburg,rus,2014,1.73,159,19.556164383561644,1,0.0
155,MIRONOV Andrei,Dynamo Moscow,rus,2014,1.87,176,19.44109589041096,1,0.0
156,ZYKOV Valentin,Baie-Comeau Drakkar,rus,2014,1.82,192,18.646575342465752,1,0.0
157,GRIGORENKO Mikhail,Buffalo Sabres,rus,2014,1.90,187,19.643835616438356,1,1.0
158,KHLOPOTOV Vadim,Lokomotiv Yaroslavl,rus,2014,1.78,168,19.70958904109589,1,0.0
